Designator,Mid X,Mid Y,Rotation,Layer
C1,117.0,-72.0,180.0,top
C2,111.0,-79.0,0.0,bottom
C3,103.4551,-74.0,180.0,top
C4,111.0,-91.0,0.0,bottom
C5,111.0,-103.0,0.0,bottom
C6,124.0,-85.0,180.0,bottom
C7,124.0,-97.0,180.0,bottom
C8,124.0,-109.0,180.0,bottom
D1,123.85,-112.0,180.0,top
D2,131.0,-74.0,0.0,top
D3,131.0,-71.0,0.0,top
F1,118.0,-75.0,180.0,top
J1,131.0,-64.0,90.0,top
J2,111.125,-84.3925,0.0,top
J3,111.125,-96.3925,0.0,top
J4,111.125,-108.3925,0.0,top
J5,123.875,-79.65,180.0,top
J6,123.875,-91.65,180.0,top
J7,123.875,-103.65,180.0,top
J8,111.125,-67.65,0.0,top
Q2,110.0,-75.5,0.0,top
R1,117.0,-70.25,0.0,top
R2,118.0,-61.0,180.0,top
R3,122.0,-61.0,180.0,top
R4,110.0,-73.0,0.0,top
R5,127.0,-74.0,180.0,top
R6,127.0,-71.0,180.0,top
SW1,117.5,-55.0,90.0,top
U1,120.0,-65.5,180.0,top
